Year,Name,AcresBurned,Fire Size Rank,Cause,SOURCE_REPORTING_UNIT_NAME,DaysBurn,Discovery Month,Discovered DOY,Contained Month,Contained DOY,Latitude,Longitude,County,CountyIds,State,OWNER_DESCR
2016,Flores Fire,88.0,C,NaN,,,Jul,,Jul,1,40.07846,-122.2071,Tehama,52,CA,NaN
2016,Moore Fire,88.0,C,NaN,,,Jun,,Jun,1,38.86804,-121.37704,Placer,31,CA,NaN
2016,Scott Fire,87.0,C,NaN,,1,Jul,,Jul,193,38.517772,-121.103642,Sacramento,34,CA,NaN
2016,Frazier Fire,86.0,C,NaN,,2,Jun,,Jun,181,35.70821,-120.82266,San Luis Obispo,40,CA,NaN
2016,Grub Fire,85.0,C,NaN,,2,Aug,,Aug,219,37.3228,-119.7738,Madera,20,CA,NaN
2016,Tulloch Fire,85.0,C,NaN,,2,May,,Jun,153,37.927613,-120.528836,Tuolumne,55,CA,NaN
2016,Dunnigan Fire,84.0,C,NaN,,,Jul,,Jul,1,38.8866,-122.04726,Yolo,57,CA,NaN
2016,Cheyenne Fire,83.0,C,NaN,,1,Jun,,Jun,168,0.0,0.0,Calaveras,5,CA,NaN
2016,Old Fire,83.0,C,NaN,,,Jun,,Jun,1,36.49914,-121.04993,San Benito,35,CA,NaN
2016,Baker Fire,80.0,C,NaN,,1,Aug,,Aug,217,40.19611,-122.26736,Tehama,52,CA,NaN
2016,Serpa Fire,80.0,C,NaN,,4,Jul,,Jul,207,0.0,0.0,Madera,20,CA,NaN
2016,Hoag Fire,80.0,C,NaN,,,Jun,,Jun,1,39.7947,-121.857,Tehama,52,CA,NaN
2016,Sherwood Fire,78.0,C,NaN,,2,Jul,,Jul,197,36.92244,-119.39619,Ventura,56,CA,NaN
2016,Lake Fire,75.0,C,NaN,,2,Sep,,Sep,256,40.68192,-122.4096,Shasta,45,CA,NaN
2016,Newmark Fire,70.0,C,NaN,,1,Sep,,Sep,268,36.6543,-119.5327,Fresno,10,CA,NaN
2016,Arroyo Fire,70.0,C,NaN,,2,Jun,,Jun,172,36.2833,-121.3306,Monterey,27,CA,NaN
2016,Pala Fire,70.0,C,NaN,,7,May,,Jun,159,33.41639,-117.08829,San Diego,37,CA,NaN
2016,Foothill Fire,69.0,C,NaN,,3,Jul,,Jul,204,39.0863,-122.7891,Lake,17,CA,NaN
2016,Creek Fire,65.0,C,NaN,,2,Oct,,Oct,286,38.40958,-122.43172,Napa,28,CA,NaN
2016,Cotton Fire,61.0,C,NaN,,1,Jun,,Jun,164,35.77135,-120.251,Kern,15,CA,NaN
2016,Oak Fire,57.0,C,NaN,,,Jul,,Jul,1,38.33475,-122.02564,Solano,48,CA,NaN
2016,Baker Fire,57.0,C,NaN,,1,Jul,,Jul,204,37.98171,-120.64241,Calaveras,5,CA,NaN
2016,Mill Fire,56.0,C,NaN,,2,May,,May,142,0.0,0.0,Siskiyou,47,CA,NaN
2016,Lowe Fire,52.0,C,NaN,,1,Jun,,Jun,176,36.1934,-120.9293,Monterey,27,CA,NaN
2016,Ruff Fire ,50.0,C,NaN,,5,Sep,,Sep,259,39.7299,-123.5044,Mendocino,23,CA,NaN
2016,Spring Fire,50.0,C,NaN,,2,Sep,,Sep,253,34.3183,-117.3189,San Bernardino,36,CA,NaN
2016,Storksbill Fire,50.0,C,NaN,,1,Jul,,Jul,205,38.79549,-121.00299,El Dorado,9,CA,NaN
2016,Casitas Fire,50.0,C,NaN,,2,Apr,,Apr,121,0.0,0.0,Ventura,56,CA,NaN
2016,70 Fire,49.0,C,NaN,,,Jun,,Jun,1,39.43351,-121.6051,Butte,4,CA,NaN
2016,Auburn Fire,47.0,C,NaN,,3,Sep,,Sep,264,39.20427,-121.05948,Nevada,29,CA,NaN
2016,Laguna Fire,47.0,C,NaN,,3,Jun,,Jun,181,33.57872,-117.77395,Orange,30,CA,NaN
2016,Bell Fire,45.0,C,NaN,,2,Sep,,Sep,269,38.5212,-120.8416,Amador,3,CA,NaN
2016,Kugelman Fire,45.0,C,NaN,,1,Aug,,Aug,223,36.09974,-120.51057,Lake,17,CA,NaN
2016,Kuehner Fire,45.0,C,NaN,,,Jul,,Jul,1,34.27619,-118.63264,Ventura,56,CA,NaN
2016,Paskenta Fire,43.0,C,NaN,,,Jun,,Jun,1,39.93965,-122.40142,Tehama,52,CA,NaN
2016,Walker Fire,43.0,C,NaN,,5,May,,Jun,156,0.0,0.0,Kern,15,CA,NaN
2016,Dockery Fire,42.0,C,NaN,,2,Jul,,Aug,214,0.0,0.0,Lassen,18,CA,NaN
2016,Boys Fire,40.0,C,NaN,,1,Sep,,Sep,256,38.558,-121.1309,Sacramento,34,CA,NaN
2016,Evergreen Fire,40.0,C,NaN,,1,Aug,,Aug,242,0.0,0.0,Riverside,33,CA,NaN
2016,Franklin Fire,40.0,C,NaN,,,Jul,,Jul,1,38.01264,-122.1885,Contra Costa,7,CA,NaN
2016,Phoenix Fire,38.0,C,NaN,,114,Sep,,Dec,365,39.39051,-120.51887,Nevada,29,CA,NaN
2016,Fork Fire,38.0,C,NaN,,2,Jul,,Jul,213,37.24006,-119.4741,Madera,20,CA,NaN
2016,Mina Fire,36.0,C,NaN,,1,Aug,,Aug,244,39.8748511,-123.4267011,Mendocino,23,CA,NaN
2016,Knoxville Fire,36.0,C,NaN,,1,Aug,,Aug,223,38.68403,-122.26015,Lake,17,CA,NaN
2016,Gopher Fire,35.0,C,NaN,,1,Aug,,Aug,224,33.22558,-117.14547,San Diego,37,CA,NaN
2016,Mountain Fire,35.0,C,NaN,,1,Aug,,Aug,223,40.61213,-122.47091,Shasta,45,CA,NaN
2016,Neal Fire,35.0,C,NaN,,1,Jul,,Jul,211,0.0,0.0,Butte,4,CA,NaN
2016,Stagecoach Fire,35.0,C,NaN,,1,Jul,,Jul,195,37.96311,-120.67335,Calaveras,5,CA,NaN
2016,Campo Fire,33.0,C,NaN,,3,Jun,,Jun,182,38.22017,-120.8678,Calaveras,5,CA,NaN
2016,Moffett Fire,32.0,C,NaN,,1,Sep,,Sep,257,41.6314,-122.7933,Siskiyou,47,CA,NaN
2016,Frymire Fire,32.0,C,NaN,,2,Jul,,Aug,214,37.81434,-120.69521,Tuolumne,55,CA,NaN
2016,Clay Fire,32.0,C,NaN,,,Jun,,Jun,1,38.3131,-121.06452,Sacramento,34,CA,NaN
2016,Old Fire,30.0,C,NaN,,3,Sep,,Sep,263,39.8851,-121.6998,Butte,4,CA,NaN
2016,Lone Pine Fire,30.0,C,NaN,,1,Jul,,Jul,184,36.58972,-118.15589,Inyo,14,CA,NaN
2016,Hidden Fire,30.0,C,NaN,,,Jun,,Jun,1,36.80296,-121.40304,San Benito,35,CA,NaN
2016,70 Fire,30.0,C,NaN,,,May,,May,1,39.624017,-121.595093,Butte,4,CA,NaN
2016,Taglio Fire,30.0,C,NaN,,,Apr,,Apr,1,37.2171,-121.08036,Merced,24,CA,NaN
2016,Gopher Fire,28.0,C,NaN,,1,Nov,,Nov,319,33.254355,-117.158475,San Diego,37,CA,NaN
2016,Rock Fire,28.0,C,NaN,,2,Jul,,Jul,206,33.00056,-116.9571,San Diego,37,CA,NaN
2016,Deer Fire,26.0,C,NaN,,1,Aug,,Aug,219,38.2581,-120.8657,Amador,3,CA,NaN
2016,Bailey Fire,26.0,C,NaN,,1,Jul,,Jul,202,41.96191,-122.59328,Siskiyou,47,CA,NaN
2016,Oak Fire,25.0,C,NaN,,1,Sep,,Sep,246,37.11831,-121.69784,Santa Clara,43,CA,NaN
2016,Oak Fire,25.0,C,NaN,,2,Aug,,Aug,227,37.06531,-121.68577,Santa Clara,43,CA,NaN
2016,Alder Fire,25.0,C,NaN,,1,Aug,,Aug,220,0.0,0.0,El Dorado,9,CA,NaN
2016,North Branch Extension Fire,25.0,C,NaN,,2,Jul,,Jul,213,0.0,0.0,Lake,17,CA,NaN
2016,Aukum Fire,25.0,C,NaN,,1,Jun,,Jun,156,38.64107,-120.6955,El Dorado,9,CA,NaN
2016,Bryson Fire,25.0,C,NaN,,,May,,May,1,35.8378273,-121.0381507,Monterey,27,CA,NaN
2016,Keswick Fire,24.0,C,NaN,,1,Jun,,Jun,164,40.61388,-122.46777,Shasta,45,CA,NaN
2016,Stafford Fire,23.0,C,NaN,,5,Aug,,Aug,229,40.4572,-124.05804,Humboldt,12,CA,NaN
2016,Table Fire,23.0,C,NaN,,1,Jul,,Jul,204,41.71847,-122.36924,Siskiyou,47,CA,NaN
2016,Summit Fire,21.0,C,NaN,,7,Aug,,Aug,232,40.9878,-123.77832,Humboldt,12,CA,NaN
2016,Ken Fire,20.0,C,NaN,,1,Sep,,Sep,248,34.25858,-117.4415,San Bernardino,36,CA,NaN
2016,Mockingbird Fire,20.0,C,NaN,,1,Aug,,Aug,244,39.1408865,-122.9148951,Lake,17,CA,NaN
2016,Edison Fire,20.0,C,NaN,,1,May,,May,134,0.0,0.0,Ventura,56,CA,NaN
2016,Willow Fire,19.0,C,NaN,,1,Aug,,Aug,244,0.0,0.0,Amador,3,CA,NaN
2016,Shelter Fire,15.0,C,NaN,,1,Jul,,Jul,194,33.11645,-116.58542,Ventura,56,CA,NaN
2016,Collier Fire,11.0,C,NaN,,1,Jul,,Jul,208,0.0,0.0,Tehama,52,CA,NaN
2016,Fiddler Fire,11.0,C,NaN,,,May,,May,1,0.0,0.0,Shasta,45,CA,NaN
2016,Jacobson Fire,10.0,C,NaN,,60,Oct,,Dec,354,36.217,-118.551,Tulare,54,CA,NaN
2016,Mokelumne Fire,0.0,A,NaN,,12,Aug,,Aug,243,38.57554,-120.00606,Alpine,2,CA,NaN
2016,Sand Fire,0.0,A,NaN,,18,Jul,,Aug,222,0.0,0.0,Los Angeles,19,CA,NaN
2016,Soda Fire,0.0,A,NaN,,15,Jun,,Jun,171,35.01382,-119.58206,San Luis Obispo,40,CA,NaN
2016,Old Fire,0.0,A,NaN,,9,Jun,,Jun,165,0.0,0.0,Los Angeles,19,CA,NaN
2016,Chimney Fire,0.0,A,NaN,,18,Jun,,Jun,171,35.84883,-118.08591,Tulare,54,CA,NaN
2016,Gorman Fire,0.0,A,NaN,,,Apr,,Apr,1,34.6888731,-118.7892593,Los Angeles,19,CA,NaN
2017,Thomas Fire,281893.0,G,NaN,,265,Dec,,Mar,73,34.41521,-119.09124,Santa Barbara,"42,56",CA,NaN
2017,Thomas Fire,281893.0,G,NaN,,265,Dec,,Mar,73,34.41521,-119.09124,Ventura,"42,56",CA,NaN
2017,Long Valley Fire,83733.0,G,NaN,,183,Jul,,Jan,9,40.07045,-120.14013,Lassen,18,CA,NaN
2017,Modoc July Complex,83120.0,G,NaN,,196,Jul,,Jan,9,0.0,0.0,Modoc,25,CA,NaN
2017,Detwiler Fire,81826.0,G,NaN,,188,Jul,,Jan,9,37.61757,-120.21321,Mariposa,22,CA,NaN
2017,Eclipse Complex,78698.0,G,NaN,,218,Aug,,Jan,9,41.841,-123.474,Siskiyou,47,CA,NaN
2017,Nuns / Adobe / Norrbom/ Pressley / Partrick Fires / Oakmont (Central LNU Complex),56556.0,G,NaN,,241,Oct,,Feb,40,38.4041,-122.5209,Napa,"28,49",CA,NaN
2017,Nuns / Adobe / Norrbom/ Pressley / Partrick Fires / Oakmont (Central LNU Complex),56556.0,G,NaN,,241,Oct,,Feb,40,38.4041,-122.5209,Sonoma,"28,49",CA,NaN
2017,Atlas Fire (Southern LNU Complex),51624.0,G,NaN,,241,Oct,,Feb,40,38.39206,-122.24367,Napa,"28,48",CA,NaN
2017,Atlas Fire (Southern LNU Complex),51624.0,G,NaN,,241,Oct,,Feb,40,38.39206,-122.24367,Solano,"28,48",CA,NaN
2017,Garza Fire,48889.0,G,NaN,,181,Jul,,Jan,9,35.93273,-120.20014,Kings,16,CA,NaN
2017,Miller Complex,39715.0,G,NaN,,217,Aug,,Jan,9,42.039,-123.218,Siskiyou,47,CA,NaN
2017,Tubbs Fire (Central LNU Complex),36807.0,G,NaN,,241,Oct,,Feb,40,38.60895,-122.62879,Napa,"28,49",CA,NaN
2017,Tubbs Fire (Central LNU Complex),36807.0,G,NaN,,241,Oct,,Feb,40,38.60895,-122.62879,Sonoma,"28,49",CA,NaN
2017,Pier Fire,36556.0,G,NaN,,232,Aug,,Jan,9,36.15356,-118.74103,Tulare,54,CA,NaN
2017,Redwood Valley Fire (Mendocino Lake Complex),36523.0,G,NaN,,241,Oct,,Feb,40,39.24873,-123.16635,Mendocino,23,CA,NaN
2017,Alamo Fire,28687.0,G,NaN,,178,Jul,,Jan,9,35.0179,-120.3223,San Luis Obispo,40,CA,NaN
2017,Orleans Complex,27276.0,G,NaN,,198,Jul,,Jan,9,41.59,-123.501,Siskiyou,47,CA,NaN
2017,Helena - Fork Fire,21846.0,G,NaN,,233,Aug,,Jan,9,40.76025,-123.10003,Trinity,53,CA,NaN
2017,Lion Fire,18900.0,G,NaN,,261,Sep,,Jan,9,36.27138,-118.48555,Tulare,54,CA,NaN
2017,R-4 Fire,18618.0,G,NaN,,233,Aug,,Jan,9,40.69573,-119.93499,Lassen,18,CA,NaN
2017,Whittier Fire,18430.0,G,NaN,,180,Jul,,Jan,9,34.55096,-119.9494,Santa Barbara,42,CA,NaN
2017,Pocket Fire (Central LNU Complex),17357.0,G,NaN,,242,Oct,,Feb,40,38.76549,-122.90939,Sonoma,49,CA,NaN
2017,Schaeffer Fire,16031.0,G,NaN,,166,Jun,,Jan,9,0.0,0.0,Tulare,54,CA,NaN
2017,Creek Fire,15619.0,G,NaN,,121,Dec,,Aug,218,34.31283,-118.35863,Los Angeles,19,CA,NaN
2017,Buck Fire,13417.0,G,NaN,,246,Sep,,Jan,9,40.2275,-123.03583,Trinity,53,CA,NaN
2017,Railroad Fire,12407.0,G,NaN,,232,Aug,,Jan,9,37.44663,-119.64622,Madera,20,CA,NaN
2017,Elm Fire,10343.0,G,NaN,,129,May,,Jan,9,36.12089,-120.37116,Fresno,10,CA,NaN
2017,Cascade Fire (Wind Complex),9989.0,G,NaN,,241,Oct,,Feb,40,39.32198,-121.4021,Yuba,58,CA,NaN
2017,Canyon 2 Fire,9217.0,G,NaN,,187,Oct,,Apr,95,33.87041,-117.70975,Orange,30,CA,NaN
2017,Slinkard Fire,8925.0,G,NaN,,232,Aug,,Jan,9,38.655,-119.55425,Mono,26,CA,NaN
2017,Cherokee Fire,8417.0,G,NaN,,241,Oct,,Feb,40,39.62496,-121.52966,Butte,4,CA,NaN
2017,Empire Fire,8094.0,G,NaN,,204,Aug,,Jan,9,37.644,-119.618,Mariposa,22,CA,NaN
2017,Parker 2 Fire,7697.0,G,NaN,,206,Aug,,Jan,9,41.466,-120.321,Modoc,25,CA,NaN
2017,La Tuna Fire ,7194.0,G,NaN,,235,Sep,,Jan,9,34.22957,-118.2674,Los Angeles,19,CA,NaN
2017,South Fork Fire,7000.0,G,NaN,,217,Aug,,Jan,9,37.538,-119.598,Mariposa,22,CA,NaN
2017,Manzanita Fire,6309.0,G,NaN,,168,Jun,,Jan,9,33.530045,-116.594422,Riverside,33,CA,NaN
2017,LaPorte Fire (Wind Complex),6151.0,G,NaN,,242,Oct,,Feb,40,39.39455,-121.40613,Butte,4,CA,NaN
2017,Rye Fire,6049.0,G,NaN,,321,Dec,,Jan,18,34.45283,-118.58188,Los Angeles,19,CA,NaN
2017,Mud Fire,6042.0,G,NaN,,232,Aug,,Jan,9,40.43962,-120.22215,Lassen,18,CA,NaN
