Year,Name,AcresBurned,Fire Size Rank,Cause,SOURCE_REPORTING_UNIT_NAME,DaysBurn,Discovery Month,Discovered DOY,Contained Month,Contained DOY,Latitude,Longitude,County,CountyIds,State,OWNER_DESCR,NOAA Station
2017,Nuns / Adobe / Norrbom/ Pressley / Partrick Fires / Oakmont (Central LNU Complex),56556.0,G,,,241.0,Oct,,Feb,40.0,38.4041,-122.5209,Sonoma,"28,49",CA,,USW00023213
2017,Atlas Fire (Southern LNU Complex),51624.0,G,,,241.0,Oct,,Feb,40.0,38.39206,-122.24367,Napa,"28,48",CA,,USW00093227
2017,Atlas Fire (Southern LNU Complex),51624.0,G,,,241.0,Oct,,Feb,40.0,38.39206,-122.24367,Solano,"28,48",CA,,USW00093227
2017,Garza Fire,48889.0,G,,,181.0,Jul,,Jan,9.0,35.93273,-120.20014,Kings,16,CA,,USW00093209
2017,Miller Complex,39715.0,G,,,217.0,Aug,,Jan,9.0,42.039,-123.218,Siskiyou,47,CA,,USW00024283
2017,Tubbs Fire (Central LNU Complex),36807.0,G,,,241.0,Oct,,Feb,40.0,38.60895,-122.62879,Napa,"28,49",CA,,USW00023213
2017,Tubbs Fire (Central LNU Complex),36807.0,G,,,241.0,Oct,,Feb,40.0,38.60895,-122.62879,Sonoma,"28,49",CA,,USW00023213
2017,Pier Fire,36556.0,G,,,232.0,Aug,,Jan,9.0,36.15356,-118.74103,Tulare,54,CA,,USW00053119
2017,Redwood Valley Fire (Mendocino Lake Complex),36523.0,G,,,241.0,Oct,,Feb,40.0,39.24873,-123.16635,Mendocino,23,CA,,USW00023275
2017,Alamo Fire,28687.0,G,,,178.0,Jul,,Jan,9.0,35.0179,-120.3223,San Luis Obispo,40,CA,,USW00023273
2017,Orleans Complex,27276.0,G,,,198.0,Jul,,Jan,9.0,41.59,-123.501,Siskiyou,47,CA,,USW00024283
2017,Helena - Fork Fire,21846.0,G,,,233.0,Aug,,Jan,9.0,40.76025,-123.10003,Trinity,53,CA,,USW00024257
