,AcresBurned,AWND,CLDD,DP10,DX90,PRCP,TAVG,TMAX,TMIN,PRCP_6M,PRCP_RS,DX90_2M,DP10_2M,Receives Snow,Mar_SP,Mar_WC,Mar_Dens,Elevation,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep
64,117.0,7.8,479.0,0.0,30.0,0.0,80.4,99.6,61.2,15.63,21.69,32.0,0.0,1,0.0,0.0,0.0,1919.268,0,0,0,0,0,1,0,0,0,0,0,0
65,26.0,7.2,229.0,0.0,6.0,0.02,72.3,84.8,59.8,3.9300000000000006,3.9300000000000006,5.0,10.0,1,13.0,3.0,0.23,774.2688,0,0,0,0,0,0,0,0,1,0,0,0
66,22.0,7.2,306.0,1.0,18.0,0.42,75.4,91.6,59.2,42.02,46.74,8.0,4.0,0,0.0,0.0,0.0,606.948,0,0,0,0,0,0,1,0,0,0,0,0
67,278.0,7.6,209.0,1.0,9.0,0.29,71.3,84.5,58.2,13.48,13.97,2.0,8.0,1,42.0,23.0,0.55,423.2232,0,0,0,0,0,0,0,0,1,0,0,0
68,128.0,4.7,641.0,0.0,31.0,0.0,85.7,103.3,68.1,28.33,46.22,36.0,3.0,1,172.0,73.5,0.43,1801.1592,0,0,0,0,0,1,0,0,0,0,0,0
69,1626.0,6.5,748.0,0.0,31.0,0.0,89.1,102.8,75.5,4.789999999999999,7.76,36.0,0.0,1,86.5,44.0,0.51,751.3032000000001,0,0,0,0,0,1,0,0,0,0,0,0
70,54.0,4.7,647.0,1.0,31.0,0.1,85.9,102.8,68.9,16.869999999999997,46.22,53.0,2.0,1,172.0,73.5,0.43,2522.9352000000003,0,1,0,0,0,0,0,0,0,0,0,0
71,51624.0,5.6,15.0,1.0,2.0,0.19,60.5,77.9,43.2,3.39,36.85,11.0,0.0,0,0.0,0.0,0.0,1348.4088000000002,0,0,0,0,0,0,0,0,0,0,1,0
72,38.0,9.6,119.0,1.0,5.0,0.26,68.3,81.8,54.8,32.1,36.85,3.0,6.0,0,0.0,0.0,0.0,1584.6264,0,0,0,0,0,0,1,0,0,0,0,0
73,2546.0,8.5,83.0,0.0,3.0,0.0,67.0,76.0,58.0,10.27,12.34,0.0,5.0,0,0.0,0.0,0.0,974.3976,0,0,0,0,0,0,1,0,0,0,0,0
74,26.0,7.6,330.0,0.0,26.0,0.0,75.6,93.2,58.0,7.22,16.340000000000003,46.0,0.0,1,1.0,0.5,0.5,580.7016,0,1,0,0,0,0,0,0,0,0,0,0
75,0.0,9.6,0.0,12.0,0.0,7.57,52.2,59.3,45.1,14.76,27.78,0.0,18.0,0,0.0,0.0,0.0,173.88240000000002,0,0,0,1,0,0,0,0,0,0,0,0
76,65.0,5.8,0.0,11.0,0.0,10.46,49.0,56.4,41.5,67.96000000000001,69.28999999999999,0.0,20.0,1,128.0,51.0,0.4,3927.1176,0,0,0,0,0,0,0,0,1,0,0,0
77,25.0,6.5,238.0,0.0,9.0,0.0,72.8,84.0,61.6,12.49,13.7,5.0,1.0,0,0.0,0.0,0.0,1505.8872,0,0,0,0,0,0,1,0,0,0,0,0
78,0.0,5.6,15.0,1.0,2.0,0.19,60.5,77.9,43.2,3.39,36.85,11.0,0.0,0,0.0,0.0,0.0,859.5696,0,0,0,0,0,0,0,0,0,0,1,0
79,0.0,8.5,87.0,1.0,10.0,0.18,65.3,82.1,48.5,14.579999999999998,15.97,1.0,7.0,0,0.0,0.0,0.0,518.3664,0,0,0,0,0,0,0,0,1,0,0,0
80,3142.0,4.5,0.0,0.0,0.0,0.01,58.4,64.6,52.2,31.64,68.14000000000001,0.0,3.0,1,77.0,24.5,0.32,4839.18,0,1,0,0,0,0,0,0,0,0,0,0
81,38.0,5.8,89.0,0.0,0.0,0.0,67.9,74.5,61.2,3.64,3.62,2.0,0.0,0,0.0,0.0,0.0,383.8536,0,0,0,0,0,0,1,0,0,0,0,0
82,4615.0,4.5,151.0,0.0,7.0,0.0,69.1,82.9,55.4,1.08,17.97,31.0,0.0,0,0.0,0.0,0.0,2080.0272,0,0,0,0,0,0,0,0,0,0,1,0
83,670.0,5.8,335.0,0.0,18.0,0.0,76.2,91.3,61.0,11.3,13.2,12.0,1.0,0,0.0,0.0,0.0,2040.6576,0,0,0,0,0,0,1,0,0,0,0,0
