,Fire Size Rank,AWND,CLDD,DP10,DX90,PRCP,TAVG,TMAX,TMIN,PRCP_6M,PRCP_RS,DX90_2M,DP10_2M,Receives Snow,Mar_SP,Mar_WC,Mar_Dens,Elevation,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep
1931,Medium,9.4,585.0,0.0,28.0,0.0,84.5,99.9,69.1,9.02,11.13,26.0,0.0,0.0,0.0,0.0,0.0,2047.2192,0,0,0,0,0,0,1,0,0,0,0,0
1932,Very Large,4.9,468.0,0.0,29.0,0.0,80.1,97.1,63.0,15.340000000000002,19.25,44.0,4.0,1.0,70.5,33.4,0.47,4064.9112,0,1,0,0,0,0,0,0,0,0,0,0
1933,Large,5.8,329.0,0.0,26.0,0.0,75.6,92.8,58.4,7.960000000000001,8.71,51.0,0.0,0.0,0.0,0.0,0.0,492.12,0,1,0,0,0,0,0,0,0,0,0,0
1934,Large,9.4,24.0,0.0,2.0,0.01,62.0,75.4,48.5,13.79,14.16,2.0,2.0,0.0,0.0,0.0,0.0,583.9824,0,0,0,0,0,0,0,0,1,0,0,0
1935,Small,4.7,18.0,0.0,1.0,0.09,64.0,73.7,54.2,6.879999999999999,23.46,1.0,0.0,0.0,0.0,0.0,0.0,2660.7288000000003,0,0,0,0,0,0,0,0,0,0,0,1
1936,Large,7.2,144.0,0.0,6.0,0.0,69.3,79.9,58.7,11.47,12.73,5.0,2.0,0.0,0.0,0.0,0.0,3313.608,0,0,0,0,0,0,1,0,0,0,0,0
1937,Small,4.9,68.0,0.0,6.0,0.0,63.2,79.2,47.3,26.15,28.34,0.0,5.0,0.0,0.0,0.0,0.0,1456.6752,0,0,0,0,0,0,0,0,1,0,0,0
1938,Large,6.7,396.0,0.0,24.0,0.11,78.2,92.9,63.5,28.84,33.68,8.0,11.0,1.0,78.0,34.0,0.44,4166.616,0,0,0,0,0,0,1,0,0,0,0,0
1939,Medium,5.1,0.0,2.0,0.0,0.87,59.6,65.4,53.8,24.78,43.06,0.0,3.0,1.0,52.9,25.2,0.48,5921.844,0,0,0,0,0,1,0,0,0,0,0,0
1940,Small,6.7,684.0,0.0,31.0,0.0,87.1,102.3,71.9,2.28,5.6,35.0,0.0,1.0,7.4,3.3,0.45,357.60720000000003,0,0,0,0,0,1,0,0,0,0,0,0
1941,Small,6.7,412.0,0.0,28.0,0.0,78.3,97.1,59.4,10.66,14.35,22.0,3.0,1.0,56.9,21.8,0.38,354.32640000000004,0,0,0,0,0,1,0,0,0,0,0,0
1942,Large,6.5,185.0,0.0,18.0,0.0,71.8,91.4,52.2,0.0,1.23,25.0,0.0,1.0,105.3,45.6,0.43,196.848,0,0,0,0,0,0,0,0,0,0,0,1
1943,Very Large,7.4,338.0,0.0,25.0,0.01,76.3,94.8,57.8,2.51,9.83,57.0,1.0,0.0,0.0,0.0,0.0,3021.6168,0,0,0,0,0,0,0,0,0,0,0,1
1944,Large,8.7,181.0,0.0,8.0,0.02,70.9,85.8,55.9,15.209999999999996,18.290000000000003,6.0,7.0,0.0,0.0,0.0,0.0,108.2664,0,0,0,0,0,0,1,0,0,0,0,0
1945,Small,6.9,347.0,0.0,25.0,0.0,76.2,94.6,57.8,7.3,13.47,36.0,0.0,1.0,36.9,15.8,0.43,121.3896,0,1,0,0,0,0,0,0,0,0,0,0
1946,Very Large,7.2,751.0,1.0,31.0,0.26,89.2,104.9,73.5,0.45,0.95,57.0,0.0,1.0,14.8,4.3,0.29,6177.7464,0,1,0,0,0,0,0,0,0,0,0,0
1947,Medium,4.9,416.0,0.0,22.0,0.0,78.9,92.7,65.0,0.08,2.18,60.0,0.0,1.0,56.8,27.6,0.49,1663.3656,0,0,0,0,0,0,0,0,0,0,0,1
1948,Very Large,5.6,484.0,0.0,26.0,0.0,80.6,97.4,63.8,14.62,25.82,42.0,2.0,1.0,71.4,31.2,0.44,2263.752,0,1,0,0,0,0,0,0,0,0,0,0
1949,Small,6.9,701.0,0.0,30.0,0.0,87.6,101.2,74.0,6.42,8.49,17.0,2.0,1.0,81.3,31.3,0.38,1253.2656,0,0,0,0,0,1,0,0,0,0,0,0
1950,Large,8.7,663.0,0.0,31.0,0.0,86.4,101.2,71.5,1.7000000000000002,2.73,51.0,0.0,0.0,0.0,0.0,0.0,3008.4936,0,1,0,0,0,0,0,0,0,0,0,0
1951,Medium,8.3,68.0,1.0,3.0,0.21,65.1,78.0,52.2,10.77,12.160000000000002,0.0,9.0,1.0,70.2,34.5,0.49,442.908,0,0,0,0,0,0,0,0,1,0,0,0
1952,Large,8.3,242.0,2.0,18.0,0.57,72.5,89.4,55.6,8.650000000000002,9.69,3.0,1.0,1.0,123.5,49.0,0.4,364.1688,0,0,0,0,0,0,1,0,0,0,0,0
1953,Medium,7.2,72.0,0.0,1.0,0.0,67.1,78.6,55.6,2.54,8.58,6.0,1.0,0.0,0.0,0.0,0.0,1994.7264,0,0,0,0,0,1,0,0,0,0,0,0
1954,Medium,5.4,165.0,0.0,12.0,0.02,70.4,87.6,53.2,3.6599999999999993,11.909999999999998,61.0,0.0,1.0,98.0,43.4,0.44,390.4152,0,0,0,0,0,0,0,0,0,0,0,1
1955,Large,5.1,457.0,0.0,30.0,0.14,79.8,95.3,64.2,8.879999999999999,11.36,11.0,1.0,0.0,0.0,0.0,0.0,1233.5808,0,0,0,0,0,1,0,0,0,0,0,0
1956,Medium,7.4,448.0,0.0,28.0,0.0,79.5,95.9,63.0,5.92,8.45,41.0,1.0,1.0,21.2,7.0,0.33,2965.8432000000003,0,1,0,0,0,0,0,0,0,0,0,0
1957,Small,5.4,0.0,0.0,0.0,0.12,58.3,64.9,51.8,21.68,40.1,0.0,4.0,0.0,0.0,0.0,0.0,702.0912000000001,0,0,0,0,0,1,0,0,0,0,0,0
1958,Small,7.6,376.0,0.0,22.0,0.0,77.5,94.4,60.7,14.12,12.910000000000002,10.0,8.0,1.0,58.4,59.5,1.02,780.8304,0,0,0,0,0,0,1,0,0,0,0,0
1959,Very Large,8.3,193.0,2.0,11.0,0.99,70.9,85.3,56.5,12.6,12.63,0.0,19.0,0.0,0.0,0.0,0.0,291.9912,0,0,0,0,0,0,0,0,1,0,0,0
1960,Medium,12.8,0.0,1.0,0.0,0.64,56.9,65.7,48.2,2.0,11.85,15.0,0.0,0.0,0.0,0.0,0.0,2736.1872000000003,0,0,0,0,0,0,0,0,0,0,1,0
1961,Large,4.9,111.0,0.0,7.0,0.1,68.2,84.5,51.9,12.23,22.64,11.0,2.0,0.0,0.0,0.0,0.0,1748.6664,0,0,0,0,0,1,0,0,0,0,0,0
1962,Medium,7.2,558.0,0.0,31.0,0.0,83.0,98.3,67.7,1.7000000000000002,5.6,55.0,0.0,1.0,7.4,3.3,0.45,426.504,0,1,0,0,0,0,0,0,0,0,0,0
1963,Small,5.8,13.0,0.0,2.0,0.0,61.1,79.4,42.7,1.54,21.48,37.0,0.0,0.0,0.0,0.0,0.0,1099.068,0,0,0,0,0,0,0,0,0,0,1,0
1964,Medium,8.1,478.0,0.0,27.0,0.0,80.9,96.4,65.5,4.23,4.76,21.0,2.0,1.0,3.5,1.0,0.29,954.7128,0,0,0,0,0,0,1,0,0,0,0,0
1965,Large,3.1,0.0,6.0,0.0,3.88,49.9,63.5,36.4,0.0,11.01,0.0,0.0,0.0,0.0,0.0,0.0,1581.3456,0,0,0,0,1,0,0,0,0,0,0,0
1966,Very Large,8.3,137.0,1.0,5.0,0.65,69.1,81.8,56.5,1.34,11.53,17.0,0.0,0.0,0.0,0.0,0.0,728.3376000000001,0,0,0,0,0,0,0,0,0,0,0,1
1967,Medium,6.0,42.0,0.0,0.0,0.0,66.3,72.2,60.4,11.67,28.980000000000004,0.0,0.0,0.0,0.0,0.0,0.0,377.292,0,1,0,0,0,0,0,0,0,0,0,0
1968,Large,4.9,1.0,0.0,0.0,0.11,57.6,75.2,40.0,27.44,29.3,0.0,9.0,1.0,143.5,32.7,0.23,4875.2688,0,0,0,0,0,0,1,0,0,0,0,0
1969,Large,5.1,521.0,1.0,27.0,1.15,81.8,98.8,64.8,11.99,21.22,32.0,3.0,1.0,69.9,25.8,0.37,3690.9,0,0,0,0,0,1,0,0,0,0,0,0
1970,Large,4.9,154.0,0.0,0.0,0.0,70.0,78.4,61.5,4.61,6.44,1.0,0.0,0.0,0.0,0.0,0.0,944.8704,0,0,0,0,0,1,0,0,0,0,0,0
1971,Very Large,8.3,423.0,0.0,27.0,0.0,79.2,94.1,64.3,3.09,7.109999999999999,29.0,2.0,1.0,10.5,4.0,0.38,8113.4184,0,0,0,0,0,1,0,0,0,0,0,0
1972,Very Large,8.5,374.0,0.0,20.0,0.0,77.5,92.9,62.1,12.37,13.57,10.0,1.0,0.0,0.0,0.0,0.0,994.0824,0,0,0,0,0,0,1,0,0,0,0,0
1973,Medium,7.6,304.0,0.0,21.0,0.0,74.8,92.4,57.2,10.65,13.77,15.0,3.0,0.0,0.0,0.0,0.0,278.868,0,0,0,0,0,1,0,0,0,0,0,0
1974,Small,7.8,641.0,0.0,31.0,0.0,85.7,99.2,72.1,1.59,3.4200000000000004,32.0,1.0,1.0,61.2,14.3,0.23,3297.204,0,0,0,0,0,1,0,0,0,0,0,0
1975,Medium,5.4,616.0,0.0,31.0,0.05,84.8,102.2,67.5,17.869999999999997,34.03,29.0,2.0,1.0,38.6,33.6,0.87,3782.7624,0,0,0,0,0,1,0,0,0,0,0,0
1976,Very Large,5.8,440.0,1.0,21.0,0.28,79.7,94.7,64.7,39.81,44.38,12.0,12.0,1.0,128.0,50.0,0.39,4396.272,0,0,0,0,0,0,1,0,0,0,0,0
1977,Medium,8.3,132.0,0.0,13.0,0.0,67.4,86.1,48.6,2.02,7.25,40.0,0.0,0.0,0.0,0.0,0.0,5702.030400000001,0,0,0,0,0,0,0,0,0,0,0,1
1978,Very Large,11.4,315.0,0.0,9.0,0.0,75.2,85.7,64.7,4.84,11.73,19.0,0.0,0.0,0.0,0.0,0.0,3881.1864,0,0,0,0,0,0,0,0,0,0,0,1
1979,Medium,5.1,3.0,2.0,0.0,1.43,60.1,67.1,53.0,23.200000000000003,26.28,0.0,4.0,0.0,0.0,0.0,0.0,4622.6472,0,0,0,0,0,0,1,0,0,0,0,0
1980,Medium,4.9,36.0,2.0,3.0,0.88,61.0,77.1,44.9,27.69,28.37,0.0,9.0,0.0,0.0,0.0,0.0,1397.6208,0,0,0,0,0,0,0,0,1,0,0,0
1981,Large,6.9,127.0,3.0,8.0,1.2,67.2,80.1,54.3,3.48,11.37,46.0,3.0,0.0,0.0,0.0,0.0,118.1088,0,0,0,0,0,0,0,0,0,0,1,0
1982,Medium,8.7,330.0,0.0,15.0,0.06,76.0,89.7,62.3,20.82,22.84,0.0,11.0,1.0,79.8,28.4,0.36,246.06,0,0,0,0,0,0,1,0,0,0,0,0
1983,Small,5.1,104.0,0.0,6.0,0.0,68.4,84.2,52.5,6.629999999999999,7.529999999999999,5.0,2.0,0.0,0.0,0.0,0.0,738.1800000000001,0,0,0,0,0,0,1,0,0,0,0,0
1984,Small,8.5,906.0,0.0,31.0,0.08,94.2,109.3,79.1,2.1700000000000004,4.59,54.0,0.0,0.0,0.0,0.0,0.0,-16.404,0,0,0,0,0,1,0,0,0,0,0,0
1985,Medium,7.8,742.0,0.0,31.0,0.01,89.0,105.9,72.0,2.74,3.06,33.0,0.0,1.0,55.0,17.9,0.33,6069.4800000000005,0,0,0,0,0,1,0,0,0,0,0,0
1986,Small,6.9,0.0,12.0,0.0,6.8,45.8,53.0,38.7,25.33,33.32,0.0,22.0,0.0,0.0,0.0,0.0,757.8648000000001,0,0,0,0,0,0,0,1,0,0,0,0
1987,Large,7.4,778.0,0.0,30.0,0.0,90.9,105.2,76.7,2.14,2.09,26.0,1.0,0.0,0.0,0.0,0.0,3989.4528,0,0,0,0,0,0,1,0,0,0,0,0
1988,Large,5.8,11.0,2.0,1.0,1.13,60.6,68.2,53.1,16.34,17.23,0.0,14.0,0.0,0.0,0.0,0.0,3881.1864,0,0,0,0,0,0,0,0,1,0,0,0
1989,Small,7.4,378.0,0.0,25.0,0.0,77.2,94.7,59.7,10.28,17.56,23.0,0.0,0.0,0.0,0.0,0.0,731.6184000000001,0,0,0,0,0,1,0,0,0,0,0,0
1990,Medium,4.3,396.0,0.0,25.0,0.13,78.2,95.8,60.5,14.65,30.58,53.0,1.0,1.0,123.5,49.0,0.4,413.3808,0,0,0,0,0,0,0,0,0,0,0,1
1991,Very Large,4.9,0.0,0.0,0.0,0.04,55.7,74.7,36.7,6.88,8.26,1.0,5.0,1.0,34.2,17.2,0.5,6751.8864,0,0,0,0,0,0,0,0,0,0,0,1
1992,Large,9.2,461.0,0.0,23.0,0.0,80.4,95.0,65.7,3.28,3.28,27.0,1.0,0.0,0.0,0.0,0.0,3057.7056,0,0,0,0,0,0,0,0,1,0,0,0
1993,Very Large,7.4,166.0,0.0,23.0,0.0,70.5,92.0,49.0,0.7799999999999999,3.82,57.0,0.0,1.0,74.8,31.2,0.42,7591.7712,0,0,0,0,0,0,0,0,0,0,0,1
1994,Large,7.2,477.0,0.0,20.0,0.0,80.9,92.2,69.6,0.42,1.74,62.0,1.0,0.0,0.0,0.0,0.0,4593.12,0,0,0,0,0,0,0,0,0,0,0,1
1995,Very Large,7.8,182.0,0.0,12.0,0.01,70.3,87.0,53.6,3.17,3.36,2.0,2.0,1.0,17.1,4.4,0.26,629.9136000000001,0,0,0,0,0,0,0,0,1,0,0,0
1996,Small,6.0,375.0,0.0,31.0,0.0,77.1,95.2,59.0,7.02,12.82,36.0,3.0,1.0,123.5,49.0,0.4,308.3952,0,1,0,0,0,0,0,0,0,0,0,0
1997,Medium,6.0,18.0,0.0,1.0,0.0,60.2,71.2,49.2,5.57,5.57,4.0,7.0,0.0,0.0,0.0,0.0,2080.0272,1,0,0,0,0,0,0,0,0,0,0,0
1998,Large,5.4,531.0,0.0,31.0,0.0,82.1,100.5,63.8,15.8,32.72,39.0,2.0,1.0,96.7,38.2,0.4,2926.4736000000003,0,1,0,0,0,0,0,0,0,0,0,0
1999,Large,9.6,724.0,2.0,31.0,0.36,88.4,103.3,73.5,3.22,7.899999999999999,54.0,0.0,0.0,0.0,0.0,0.0,1794.5976,0,1,0,0,0,0,0,0,0,0,0,0
2000,Very Large,4.9,470.0,0.0,28.0,0.0,80.2,97.3,63.0,17.290000000000003,22.47,24.0,2.0,1.0,75.5,36.6,0.48,898.9392,0,0,0,0,0,1,0,0,0,0,0,0
2001,Small,5.1,0.0,0.0,0.0,0.11,54.2,59.9,48.4,38.06,42.91,0.0,13.0,1.0,65.2,20.8,0.32,2965.8432000000003,0,0,0,0,0,1,0,0,0,0,0,0
2002,Very Large,6.3,353.0,0.0,21.0,0.02,76.8,92.6,60.9,19.24,22.33,8.0,2.0,1.0,46.5,13.8,0.3,5757.804,0,0,0,0,0,0,1,0,0,0,0,0
2003,Small,7.8,361.0,0.0,24.0,0.0,77.9,94.9,60.9,5.46,9.16,47.0,0.0,1.0,84.0,37.2,0.44,255.9024,0,1,0,0,0,0,0,0,0,0,0,0
2004,Small,4.9,189.0,0.0,7.0,0.1,70.9,83.9,57.8,3.81,4.05,3.0,1.0,0.0,0.0,0.0,0.0,1607.592,0,0,0,0,0,0,0,0,1,0,0,0
2005,Large,6.7,442.0,0.0,27.0,0.0,79.3,96.4,62.1,7.81,18.290000000000003,36.0,0.0,1.0,160.8,54.3,0.34,4665.2976,0,1,0,0,0,0,0,0,0,0,0,0
2006,Very Large,5.4,49.0,0.0,0.0,0.0,66.1,75.0,57.1,13.57,14.31,1.0,3.0,0.0,0.0,0.0,0.0,1486.2024,0,0,0,0,0,0,1,0,0,0,0,0
2007,Small,7.6,139.0,2.0,6.0,0.57,68.5,81.5,55.5,5.349999999999999,5.849999999999999,5.0,2.0,1.0,0.0,0.0,0.0,488.8392,0,0,0,0,0,0,0,0,1,0,0,0
2008,Very Large,7.2,243.0,0.0,12.0,0.0,72.7,88.3,57.1,9.67,9.57,3.0,8.0,1.0,68.4,24.6,0.36,6253.2048,0,0,0,0,0,0,1,0,0,0,0,0
2009,Large,5.4,165.0,0.0,12.0,0.02,70.4,87.6,53.2,3.6599999999999993,11.909999999999998,61.0,0.0,1.0,98.0,43.4,0.44,383.8536,0,0,0,0,0,0,0,0,0,0,0,1
