,Fire Size Rank,AWND,CLDD,DP10,DX90,PRCP,TAVG,TMAX,TMIN,PRCP_6M,PRCP_RS,DX90_2M,DP10_2M,Receives Snow,Mar_SP,Mar_WC,Mar_Dens,Elevation,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep
77,Large,7.8,145.0,0.0,2.0,0.0,69.7,81.7,57.7,10.21,14.6,3.0,2.0,0,0.0,0.0,0.0,1623.996,0,0,0,0,0,1,0,0,0,0,0,0
78,Large,6.9,338.0,0.0,22.0,0.01,76.2,93.7,58.7,17.539999999999996,20.0,9.0,5.0,0,0.0,0.0,0.0,456.0312,0,0,0,0,0,0,1,0,0,0,0,0
79,Large,7.2,471.0,0.0,30.0,0.0,80.2,98.9,61.5,8.41,12.970000000000002,31.0,0.0,1,102.0,44.0,0.43,3093.7944,0,0,0,0,0,1,0,0,0,0,0,0
80,Large,6.7,327.0,0.0,20.0,0.0,75.9,91.7,60.0,9.28,22.200000000000003,56.0,0.0,1,47.0,20.0,0.43,833.3232,0,0,0,0,0,0,0,0,0,0,0,1
81,Large,6.0,629.0,0.0,31.0,0.0,85.3,99.2,71.4,2.1500000000000004,4.880000000000001,52.0,0.0,1,36.0,16.0,0.44,2821.4880000000003,0,1,0,0,0,0,0,0,0,0,0,0
82,Large,7.8,290.0,0.0,23.0,0.0,74.3,94.7,54.0,6.02,8.09,26.0,0.0,0,0.0,0.0,0.0,830.0424,0,0,0,0,0,1,0,0,0,0,0,0
83,Large,5.4,285.0,0.0,17.0,0.0,74.2,91.3,57.1,9.67,12.97,12.0,1.0,0,0.0,0.0,0.0,2034.096,0,0,0,0,0,1,0,0,0,0,0,0
84,Large,6.5,154.0,2.0,9.0,0.4,69.1,83.6,54.7,19.83,20.0,0.0,14.0,0,0.0,0.0,0.0,68.8968,0,0,0,0,0,0,0,0,1,0,0,0
85,Large,6.0,490.0,0.0,31.0,0.0,80.8,97.4,64.2,9.69,22.200000000000003,46.0,2.0,0,0.0,0.0,0.0,1279.5120000000002,0,1,0,0,0,0,0,0,0,0,0,0
86,Large,6.9,519.0,0.0,25.0,0.0,81.7,97.5,66.0,18.500000000000004,22.200000000000003,31.0,4.0,1,50.5,29.5,0.58,282.1488,0,0,0,0,0,1,0,0,0,0,0,0
87,Large,6.9,338.0,0.0,22.0,0.01,76.2,93.7,58.7,17.539999999999996,20.0,9.0,5.0,1,1.0,0.5,0.5,88.58160000000001,0,0,0,0,0,0,1,0,0,0,0,0
88,Large,7.4,336.0,0.0,19.0,0.0,75.8,92.4,59.3,12.750000000000002,15.82,26.0,1.0,0,0.0,0.0,0.0,239.4984,0,0,0,0,0,1,0,0,0,0,0,0
89,Large,8.3,284.0,0.0,20.0,0.0,74.2,95.2,53.2,6.789999999999999,8.09,9.0,0.0,0,0.0,0.0,0.0,1154.8416,0,0,0,0,0,0,1,0,0,0,0,0
90,Large,6.3,432.0,0.0,30.0,0.0,78.9,97.4,60.4,4.78,12.970000000000002,52.0,0.0,1,102.0,44.0,0.43,2342.4912,0,1,0,0,0,0,0,0,0,0,0,0
91,Large,8.1,188.0,1.0,9.0,0.25,70.5,84.1,57.0,15.170000000000002,15.37,0.0,11.0,1,1.0,0.5,0.5,826.7616,0,0,0,0,0,0,0,0,1,0,0,0
92,Large,7.4,411.0,0.0,25.0,0.0,78.3,95.8,60.7,14.92,20.0,31.0,2.0,0,0.0,0.0,0.0,324.79920000000004,0,0,0,0,0,1,0,0,0,0,0,0
93,Large,9.4,6.0,0.0,0.0,0.03,62.4,71.6,53.2,10.5,13.34,1.0,2.0,0,0.0,0.0,0.0,1919.268,0,0,0,0,0,0,1,0,0,0,0,0
94,Large,6.0,490.0,0.0,31.0,0.0,80.8,97.4,64.2,9.69,22.200000000000003,46.0,2.0,1,50.5,29.5,0.58,370.7304,0,1,0,0,0,0,0,0,0,0,0,0
95,Large,7.6,429.0,2.0,21.0,1.27,79.2,93.8,64.6,21.340000000000003,22.200000000000003,11.0,5.0,1,47.0,20.0,0.43,223.0944,0,0,0,0,0,0,1,0,0,0,0,0
96,Large,7.8,589.0,0.0,30.0,0.0,84.0,100.0,68.0,9.11,13.97,31.0,1.0,0,0.0,0.0,0.0,1725.7008,0,0,0,0,0,1,0,0,0,0,0,0
97,Large,5.1,329.0,0.0,21.0,0.0,75.9,92.4,59.4,17.03,37.07,58.0,0.0,1,50.5,29.5,0.58,951.432,0,0,0,0,0,0,0,0,0,0,0,1
98,Large,5.6,336.0,0.0,21.0,0.0,76.1,91.3,60.9,4.35,13.97,61.0,0.0,1,42.0,23.0,0.55,337.92240000000004,0,0,0,0,0,0,0,0,0,0,0,1
99,Large,9.4,6.0,0.0,0.0,0.03,62.4,71.6,53.2,10.5,13.34,1.0,2.0,0,0.0,0.0,0.0,856.2888,0,0,0,0,0,0,1,0,0,0,0,0
101,Large,4.5,282.0,0.0,19.0,0.0,74.3,94.0,54.6,24.32,35.709999999999994,20.0,3.0,0,0.0,0.0,0.0,1371.3744000000002,0,0,0,0,0,1,0,0,0,0,0,0
102,Large,6.0,4.0,8.0,1.0,3.81,60.7,73.2,48.2,1.19,18.610000000000003,7.0,0.0,0,0.0,0.0,0.0,816.9192,0,0,0,0,0,0,0,0,0,0,1,0
103,Large,8.3,284.0,0.0,20.0,0.0,74.2,95.2,53.2,6.789999999999999,8.09,9.0,0.0,1,42.0,23.0,0.55,1459.956,0,0,0,0,0,0,1,0,0,0,0,0
104,Large,7.2,376.0,0.0,23.0,0.0,77.1,95.1,59.2,17.35,21.27,28.0,3.0,0,0.0,0.0,0.0,239.4984,0,0,0,0,0,1,0,0,0,0,0,0
105,Large,8.3,492.0,0.0,29.0,0.0,80.9,97.4,64.3,11.21,15.37,32.0,1.0,1,1.0,0.5,0.5,1017.048,0,0,0,0,0,1,0,0,0,0,0,0
106,Large,8.3,284.0,0.0,20.0,0.0,74.2,95.2,53.2,6.789999999999999,8.09,9.0,0.0,0,0.0,0.0,0.0,1177.8072,0,0,0,0,0,0,1,0,0,0,0,0
107,Medium,3.6,158.0,0.0,14.0,0.0,69.7,88.9,50.4,11.289999999999996,35.709999999999994,43.0,0.0,0,0.0,0.0,0.0,1535.4144,0,0,0,0,0,0,0,0,0,0,0,1
108,Medium,6.0,323.0,0.0,15.0,0.0,75.7,89.5,61.9,2.98,6.45,55.0,0.0,0,0.0,0.0,0.0,3165.972,0,0,0,0,0,0,0,0,0,0,0,1
109,Medium,7.4,336.0,0.0,19.0,0.0,75.8,92.4,59.3,12.750000000000002,15.82,26.0,1.0,1,1.0,0.5,0.5,1574.784,0,0,0,0,0,1,0,0,0,0,0,0
110,Medium,6.9,338.0,0.0,22.0,0.01,76.2,93.7,58.7,17.539999999999996,20.0,9.0,5.0,0,0.0,0.0,0.0,134.5128,0,0,0,0,0,0,1,0,0,0,0,0
111,Medium,6.0,79.0,0.0,0.0,0.06,63.9,71.9,55.9,27.24,64.73,1.0,0.0,1,47.0,20.0,0.43,2457.3192,0,0,0,0,0,0,0,0,0,0,0,1
112,Medium,5.6,139.0,0.0,2.0,0.01,69.6,76.6,62.5,4.79,4.9,1.0,0.0,0,0.0,0.0,0.0,800.5152,0,0,0,0,0,0,1,0,0,0,0,0
